timestamp;Buffer;FPS;ReportedBitrate;Resolution;CalcBitrate
1694908739445;0;18;639;426x240;0
1694908740425;4;30;3312;1280x720;66
1694908741432;3.193;30;3312;1280x720;211
1694908742432;2.127;24;1867;854x480;638
1694908743433;1.071;18;639;426x240;986
1694908744425;8.242;18;639;426x240;1120
1694908745425;15.21;18;639;426x240;1273
1694908746432;14.148;18;639;426x240;1402
1694908747432;13.081;18;639;426x240;1517
1694908748433;12.291;18;639;426x240;1678
1694908749425;11.225;18;639;426x240;1791
1694908750433;14.16;18;639;426x240;1921
1694908751426;13.096;18;639;426x240;2099
1694908752428;12.305;18;639;426x240;2204
1694908753432;11.103;18;639;426x240;2346
1694908754427;10.305;18;639;426x240;2468
1694908755425;13.239;18;639;426x240;2610
1694908756433;12.176;18;639;426x240;2779
1694908757434;11.113;18;639;426x240;2911
1694908758426;10.321;18;639;426x240;3053
1694908759432;13.257;18;639;426x240;3185
1694908760432;12.193;18;639;426x240;3323
1694908761433;11.129;30;3312;1280x720;3456
1694908762433;10.072;30;3312;1280x720;3593
1694908763430;9.273;30;3312;1280x720;3748
1694908764433;8.209;30;3312;1280x720;3865
1694908765432;7.148;30;3312;1280x720;3992
1694908766432;6.081;30;3312;1280x720;4127
1694908767433;5.287;30;3312;1280x720;4266
1694908768428;4.228;30;3312;1280x720;4420
1694908769434;3.161;18;639;426x240;4567
1694908770425;6.098;24;1867;854x480;4705
1694908771432;5.307;24;1867;854x480;4834
1694908772430;4.248;24;1867;854x480;4979
1694908773433;3.182;24;1867;854x480;5105
1694908774433;2.123;18;639;426x240;5231
1694908775432;5.093;18;639;426x240;5372
1694908776427;4.268;18;639;426x240;5484
1694908777425;7.206;18;639;426x240;5624
1694908778425;10.143;18;639;426x240;5758
1694908779434;13.077;18;639;426x240;5889
1694908780433;12.286;18;639;426x240;6030
1694908781434;11.222;18;639;426x240;6158
1694908782426;10.161;18;639;426x240;6274
1694908783432;13.096;18;639;426x240;6437
1694908784425;12.113;18;639;426x240;6577
1694908785425;11.242;18;639;426x240;6702
1694908786425;10.18;18;639;426x240;6827
1694908787433;13.113;18;639;426x240;6948
1694908788425;12.321;18;639;426x240;7112
1694908789433;11.258;18;639;426x240;7227
1694908790426;10.195;18;639;426x240;7366
1694908791432;9.128;18;639;426x240;7503
1694908792428;12.209;18;639;426x240;7638
1694908793425;11.129;24;1867;854x480;7762
1694908794433;10.209;24;1867;854x480;7901
1694908795427;9.149;24;1867;854x480;8040
1694908796432;8.081;24;1867;854x480;8166
1694908797432;7.288;24;1867;854x480;8286
1694908798425;6.225;24;1867;854x480;8395
1694908799426;5.166;18;639;426x240;8548
1694908800425;8.097;18;639;426x240;8697
1694908801432;11.193;18;639;426x240;8831
1694908802426;14.113;18;639;426x240;8972
1694908803435;13.177;18;639;426x240;9099
1694908804425;12.111;18;639;426x240;9234
1694908805427;11.321;18;639;426x240;9382
1694908806426;10.26;18;639;426x240;9521
1694908807433;13.199;18;639;426x240;9661
1694908808425;12.139;18;639;426x240;9788
1694908809433;11.355;18;639;426x240;9909
1694908810432;10.289;18;639;426x240;10044
1694908811433;13.15;18;639;426x240;10181
1694908812433;12.164;18;639;426x240;10315
1694908813432;11.097;18;639;426x240;10453
1694908814426;14.148;18;639;426x240;10579
1694908815432;13.24;18;639;426x240;10707
1694908816432;12.176;18;639;426x240;10830
1694908817425;11.11;18;639;426x240;10957
1694908818425;10.319;18;639;426x240;11086
1694908819433;13.223;18;639;426x240;11225
1694908820433;12.191;18;639;426x240;11360
1694908821433;11.131;18;639;426x240;11483
1694908822426;14.106;18;639;426x240;11606
1694908823432;13.27;18;639;426x240;11731
1694908824432;12.208;18;639;426x240;11875
1694908825432;11.141;18;639;426x240;11989
1694908826426;10.351;18;639;426x240;12096
1694908827426;13.285;18;639;426x240;12199
1694908828427;12.223;18;639;426x240;12321
1694908829432;11.159;18;639;426x240;12453
1694908830432;14.096;18;639;426x240;12585
1694908831433;13.302;18;639;426x240;12723
1694908832426;12.239;18;639;426x240;12856
1694908833426;11.176;18;639;426x240;12974
1694908834426;10.112;18;639;426x240;13092
1694908835432;13.32;18;639;426x240;13212
1694908836425;12.253;18;639;426x240;13342
1694908837425;11.191;18;639;426x240;13462
1694908838432;14.128;18;639;426x240;13596
1694908839426;13.336;18;639;426x240;13694
1694908840432;12.271;18;639;426x240;13851
1694908841425;11.206;18;639;426x240;13976
1694908842425;10.143;18;639;426x240;14114
1694908843432;13.352;18;639;426x240;14269
1694908844427;12.287;18;639;426x240;14394
1694908845426;11.223;18;639;426x240;14514
1694908846432;10.165;18;639;426x240;14628
1694908847432;13.351;18;639;426x240;14755
1694908848426;12.287;18;639;426x240;14864
1694908849432;11.22;18;639;426x240;15016
1694908850433;10.158;18;639;426x240;15120
1694908851432;13.095;18;639;426x240;15265
1694908852432;12.303;18;639;426x240;15403
1694908853435;11.239;18;639;426x240;15538
1694908854426;10.176;18;639;426x240;15665
1694908855433;13.112;18;639;426x240;15804
1694908856432;12.32;18;639;426x240;15930
1694908857432;11.272;18;639;426x240;16099
1694908858433;10.211;18;639;426x240;16201
1694908859425;13.151;18;639;426x240;16314
1694908860426;12.355;18;639;426x240;16438
1694908861432;11.291;18;639;426x240;16566
1694908862428;10.228;18;639;426x240;16698
1694908863426;13.159;18;639;426x240;16835
1694908864428;12.367;18;639;426x240;16934
1694908865432;11.303;18;639;426x240;17061
1694908866427;14.236;18;639;426x240;17227
1694908867432;13.174;18;639;426x240;17359
1694908868432;12.108;18;639;426x240;17481
1694908869425;11.317;18;639;426x240;17618
1694908870426;10.255;18;639;426x240;17741
1694908871432;13.191;18;639;426x240;17877
1694908872433;12.127;18;639;426x240;18020
1694908873434;11.335;18;639;426x240;18161
1694908874433;10.271;18;639;426x240;18297
1694908875432;13.111;18;639;426x240;18431
1694908876432;12.143;18;639;426x240;18586
1694908877432;11.351;18;639;426x240;18712
1694908878433;10.287;18;639;426x240;18861
1694908879432;13.221;18;639;426x240;19005
